List Number,Agency Phone,Listing Agent,Co-Listing Agent,Property Type,Card Format,Book Section,Property Sub Type,Listing Contract Date,Back on Market Date,Status,Status Change Timestamp,Original List Price,List Price,Living Area Source,MLS Area Major,Lock Box Number,Street Direction Prefix,Street Direction Suffix,Non-Representative Compensation Type,City,State,County,Country,Postal Code,Stories Total,Stories,Latitude,Longitude,GeoID,Living Area,Year Built,Direction Faces,Lot Size Dimensions,Bedrooms Total,Bathrooms Total,Bathrooms Full,Bathrooms Half,Parcel Number,Owner Name,mod_timestamp,Association Fee Frequency,Occupant Type,Listing Agreement,Association Fee 2 Frequency,Listing Service,Lease Term,Association Fee,Building Area Total,Garage Spaces,Association Fee 2,List Price/SqFt,Availability Date,Start Showing Date,Association Name,Association YN,Carport YN,Property Attached YN,Furnished,Lot Size Acres,Contingent Date,Senior Community YN,Waterfront YN,Water Frontage Feet,Accessory Dwelling Unit Y/N,Rental Service,Garage YN,Carport Spaces,Non-Representative Compensation,Entry Level,Accessibility Features YN,Unit Type,Comp Sale YN,Price Change Timestamp,Days on Market,Rooms,Features
gAAAAABm9wKy_fhjX3yyFFv74pMXORgIt7ywe5NZ96uBSUbDyLUN5p4FfT1yRCFguNdigePQ60B8qAfAYJpgzSnaHIYioioEDw==,Agency_Phone_Index_683,Listing_Agent_Index_1182,,Rental,Residential Lease,Townhouse,TH,7/22/24,,A,8/11/24,1750,1750,Public Records,301,,,,%,St Johns,FL,St. Johns,US,32259,2,2,30.09540358,-81.54040035,1.21E+11,1210,2017,,,2,3,2,1,gAAAAABm9wKy3Oeocj1hBCSkOdHWI1VpGRGh6RXFuMYS7sMLl9ZEIxMHtGSDgqej12wAd7UoT8oQRt9nP0SIyG_M97LUVwxzzw==,,10/25/24 9:08,,,Excl Right to Lease,,Full Service,12 Months,,,,,1.45,7/18/24,,,Y,N,Y,U,0.08,,N,N,,N,,N,,0,1,N,,,,7,,Additional Fee Includes|Lease Prep|Yes;Additional Fee Includes|Other|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Contemporary|Yes;Fencing|Fenced|Yes;Laundry Features|Electric Dryer Hookup|Yes;Levels|Two|Yes;Owner Pays|Association Fees|Yes;Patio And Porch Features|Patio|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Size Limit|Yes;Road Surface Type|Asphalt|Yes;Sewer|Public Sewer|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Electric|Yes;Pool Features|Community|Yes;Utilities|Sewer Available|Yes;Utilities|Water Available|Yes;Showing Requirements|Lockbox|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;
gAAAAABm9wKyS7SmOMfTyn3Uz-9dVJLCeLnOZNZ0KI0alwE6sL3ygD9cO1ct88cIr2l-jBTX3qIuaP3kW7D_C5xrkJwsslszaA==,Agency_Phone_Index_797,Listing_Agent_Index_1183,,Rental,Residential Lease,Single Family Residence,SF,7/19/24,,A,7/25/24,4500,4500,Public Records,266,,,,$,St Augustine,FL,St. Johns,US,32084,2,,29.95096438,-81.30370205,1.21E+11,2961,2002,,,5,4,4,0,gAAAAABm9wKyWkpaM3J9BvVlXR_P4LOffzcggB8HFEPE9uamUb5fgTFrxCwQzuC_eeuuG6AP703TnRp51-2Mp9-wJQtfMZWpyA==,,10/2/24 2:54,,,Excl Right to Lease,,Full Service,12 Months,,,2,,1.52,7/21/24,,,Y,N,,,0.24,,N,N,,,O,Y,,0,1,N,,,,33,,Additional Lease Terms|6 Months|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Traditional|Yes;Exterior Features|Balcony|Yes;Fireplace Features|Fireplaces Total|1;Interior Features|Ceiling Fan(s)|Yes;Interior Features|Pantry|Yes;Rental Commission Term|Specific $ Amount|250;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Other|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Attached|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;
gAAAAABm9wKy7tMv_0EwlkhPOL3zIw4pD6I0YzCpERhq9tnJWYVf83b0qyDBsXRfE5vJt_duHpfO42bMl39ehpfL1h8Jft6pEQ==,Agency_Phone_Index_658,Listing_Agent_Index_976,,Rental,Residential Lease,Condominium,CN,7/2/24,,A,6/10/24,1425,1400,Appraiser,22,,,W,%,Jacksonville,FL,Duval,US,32216,3,,30.2588408,-81.57051503,1.20E+11,1100,2005,,,2,2,2,0,gAAAAABm9wKy-oMhA7RAShYup4qa6px-ud133tDOypTtbBJs-f6gjdcbH27O18HZQkTgDB-N-8Fq-nU2rIkYy51egOBWo39IgA==,,,,,Excl Right to Lease,,Full Service,Other,,,,,1.27,,,,Y,N,,,0.01,,N,N,,,O,N,,0,,N,,,10/8/24 10:38,28,,"Additional Lease Terms|Other|Yes;Deposits and Fees|Security Deposit|1,400;Deposits and Fees|Additional Fee|150;Deposits and Fees|Pet Fee/Deposit|300;Deposits and Fees|Application Fee|80;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Dogs OK|Yes;Pets Allowed|Cats OK|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Rental Commission Term|Specific $ Amount|150;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Gated|Community;Showing Requirements|Showing Service|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Call Listing Agent|Yes;Parking Features|On Street|Yes;Appliances|Convection Oven|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Dishwasher|Yes;Appliances|Dryer|Yes;"
gAAAAABm9wKyIX8xpB2Uv39A2spFuz4VAgVJ3JnPS_0uiYtyuR3orFu5hfjhn_FQupjxMAhPoA6cyHHVklWCKqUNIOQ78obg1w==,Agency_Phone_Index_677,Listing_Agent_Index_1019,Listing_Agent_Index_997,Rental,Residential Lease,Condominium,CN,5/10/24,,A,4/7/24,3900,3900,Public Records,261,,,,%,Ponte Vedra Bch,FL,St. Johns,US,32082,2,1,30.21946359,-81.37719142,1.21E+11,1440,1985,,,3,2,2,0,gAAAAABm9wKyGXZnU-2POisTC1kaREYb1Lg2tl8W7808z2wUNmHHHR4WV0wyxN8WoJyG4mhMKnP_5333Y54FDsNXjQ9eCx2gMg==,,,,,Excl Right to Lease,,Full Service,Short Term Lease,,,,,2.71,,,,Y,N,,F,0,,N,N,,,,N,,0,,N,,,,105,,Interior Features|Breakfast Bar|Yes;Interior Features|Primary Bathroom - Shower No Tub|Yes;Laundry Features|In Unit|Yes;Levels|Two|Yes;Patio And Porch Features|Deck|Yes;Patio And Porch Features|Screened|Yes;Security Features|Smoke Detector(s)|Yes;Rental Commission Term|Specific $ Amount|20;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|Community|Yes;Pool Features|None|Yes;Utilities|Electricity Connected|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Showing Requirements|Appointment Only|Yes;Parking Features|Assigned|Yes;Parking Features|Guest|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;
gAAAAABm9wKyKCrHXHvjoym0XgT7HnduLEUcLE24yQ-QpZ1pMwlGyJLPqecO8dhVwtLGWCX-N5qmhcEsY0TofHSQ64Lx8DN7eQ==,Agency_Phone_Index_756,Listing_Agent_Index_1184,,Rental,Residential Lease,Condominium,CN,7/30/24,,A,6/27/24,6500,6500,Public Records,261,,,E,$,Ponte Vedra Bch,FL,St. Johns,US,32082,2,,30.18372609,-81.36832555,1.21E+11,1845,1974,,,3,2,2,0,gAAAAABm9wKy9O6wvqwffEKiFtV-Mll9s3rohuCywZw1DypvcrzduNiFV-0mRJKH8FvPZced2eZteVwSHM-878CsynF8a0wrsQ==,,,,,Excl Right to Lease,,Limited Service,Short Term Lease,0,,,,3.52,7/17/24,,,Y,N,Y,,0,,N,N,,,N,N,,300,,N,End Unit,,,19,,"Additional Lease Terms|Month To Month|Yes;Additional Lease Terms|Short Term Lease|Yes;Additional Lease Terms|Negotiable|Yes;Additional Lease Terms|6 Months|Yes;Additional Lease Terms|3 Months|Yes;Association Amenities|Clubhouse|Yes;Association Amenities|Gated|Yes;Association Amenities|Golf Course|Yes;Deposits and Fees|Security Deposit|3,000;Interior Features|Kitchen Island|Yes;Interior Features|Butler Pantry|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Primary Downstairs|Yes;Laundry Features|Lower Level|Yes;Laundry Features|In Unit|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Water|Yes;Owner Pays|Trash Collection|Yes;Owner Pays|Security|Yes;Owner Pays|Pest Control|Yes;Owner Pays|Management|Yes;Owner Pays|Insurance|Yes;Owner Pays|HVAC Maintenance|Yes;Owner Pays|Grounds Care|Yes;Owner Pays|Exterior Maintenance|Yes;Owner Pays|Electricity|Yes;Owner Pays|Cable TV|Yes;Owner Pays|Common Area Maintenance|Yes;Pets Allowed|Call|Yes;Rent Includes|All Utilities|Yes;Security Features|Security Gate|Yes;Tenant Pays|None|Yes;View|Golf Course|Yes;Rental Commission Term|1 Months Rent|Yes;Rental Commission Term|Specific $ Amount|6,500;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Water Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Gated|Community;Showing Requirements|Call Listing Agent|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|24 Hour Notice|Yes;Parking Features|Assigned|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
gAAAAABm9wKyEXP1-_3xz_RaDxJZQmrYOrhoqGsM96EBUo-dKYCPEgYSsOjoatqq0Hl6OBQYXSHKJ7QJ_aOQt937RDWQYmForQ==,Agency_Phone_Index_798,Listing_Agent_Index_1185,,Rental,Residential Lease,Townhouse,TH,6/22/24,,A,8/1/24,2750,2750,Appraiser,214,,,S,%,Jacksonville Bch,FL,Duval,US,32250,2,,30.27504935,-81.39942715,1.20E+11,1397,2001,,,3,3,2,1,gAAAAABm9wKynhGhkIc-a06djDIVC5RIojsCCEsiA9fxVocXyThd4UaMkdth5b2Roag-u6u85RhSa8mAMkmU_LBIExGDYXU1ZA==,,,,,Excl Right to Lease,,Full Service,12 Months,,,1,,1.97,8/12/24,,,N,N,Y,N,0.07,,N,N,,,O,Y,,0,,N,,,,16,,Additional Lease Terms|6 Months|Yes;Additional Lease Terms|Negotiable|Yes;Additional Lease Terms|24 Months|Yes;Additional Lease Terms|12 Months|Yes;Additional Lease Terms|7 Months|Yes;Association Fee Includes|Maintenance Grounds|Yes;Fencing|Full|Yes;Fencing|Fenced|Yes;Laundry Features|In Unit|Yes;Levels|Two|Yes;Patio And Porch Features|Rear Porch|Yes;Pets Allowed|Yes|Yes;Rent Includes|Gardener|Yes;Showing Considerations|Occupied|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|Cable TV|Yes;Tenant Pays|All Utilities|Yes;Tenant Pays|Water|Yes;Tenant Pays|Electricity|Yes;Rental Commission Term|Specific $ Amount|250;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Showing Requirements|Call Listing Agent|Yes;Parking Features|Garage|Yes;Parking Features|Garage Door Opener|Yes;Appliances|Dishwasher|Yes;Appliances|Washer/Dryer Stacked|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Freezer|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;Appliances|Electric Cooktop|Yes;
gAAAAABm9wKyu4spx2tBtwIi1WKV2yca-DyLzEn8iHu1jyc4aPgcvNEJoBtGfilIyF9-NY-fUDLkbYtfeZh4OAH_tZunJhD-GQ==,Agency_Phone_Index_779,Listing_Agent_Index_1146,,Rental,Residential Lease,Single Family Residence,SF,6/8/24,,A,6/29/24,2850,2850,Public Records,42,,,,%,Jacksonville,FL,Duval,US,32225,2,,30.34824806,-81.49764121,1.20E+11,3008,2005,,,4,3,2,1,gAAAAABm9wKyGwCgmdCDbTm7PVkGuqWPhues5Cbk6nmXmCv8333aNhvQ9adDEdTaA4gR-mcCMriRtJLFP0U_DVjjZkCONfLbSw==,,,,,Excl Right to Lease,,Limited Service,12 Months,,,2,,0.95,,,,Y,N,,U,0.15,,N,N,,,,Y,,0,,N,,,,29,,"Deposits and Fees|Security Deposit|2,850;Fireplace Features|Fireplaces Total|1;Showing Considerations|Electricity Not On|Yes;Showing Considerations|No Interior Lighting|Yes;Special Listing Conditions|Third Party Approval|Yes;Tenant Pays|Grounds Care|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|0;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Other|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Garage|Yes;Appliances|Refrigerator|Yes;"
gAAAAABm9wKyGzXsOdI0EXTq8N_nB39KrhkW6l1RXmZbsKh9I68i_PUBDePddqDpC7QDYV4Ml-FNWGrCNkz9G4dzsCoQFIX0XA==,Agency_Phone_Index_702,Listing_Agent_Index_1079,,Rental,Residential Lease,Single Family Residence,SF,7/16/24,,A,7/14/24,2220,2050,Public Records,14,,,,%,Jacksonville,FL,Duval,US,32223,1,,30.15059438,-81.66704205,1.20E+11,1530,1981,,,3,2,2,0,gAAAAABm9wKyaO_ULCsEmYEB1dF2FP3NIOrRfFZAHJ5MgHMfdYgXnFg_fEqdAZElnkTCvVYSLKwO4ivY-SUDmuGCTeCavcFIyA==,,9/19/24 16:48,,,Excl Right to Lease,,Full Service,12 Months,,,2,,1.34,7/26/24,,,N,N,,,0.29,,N,N,,,O,Y,,20,,N,,,9/30/24 16:48,35,,"Additional Fee Includes|Lease Prep|Yes;Architectural Style|Ranch|Yes;Deposits and Fees|Security Deposit|2,220;Deposits and Fees|Pet Fee/Deposit|25;Deposits and Fees|Application Fee|75;Fencing|Back Yard|Yes;Fireplace Features|Wood Burning|Yes;Interior Features|Ceiling Fan(s)|Yes;Interior Features|Skylight(s)|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Vaulted Ceiling(s)|Yes;Interior Features|Pantry|Yes;Interior Features|Entrance Foyer|Yes;Laundry Features|In Garage|Yes;Patio And Porch Features|Porch|Yes;Patio And Porch Features|Screened|Yes;Patio And Porch Features|Rear Porch|Yes;Pets Allowed|Yes|Yes;Road Surface Type|Asphalt|Yes;Sewer|Public Sewer|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Electric|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Utilities|Water Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Combination Lock Box|Yes;Parking Features|Attached|Yes;Parking Features|On Street|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;Appliances|Electric Oven|Yes;Appliances|Dishwasher|Yes;"
gAAAAABm9wKyLz1MEyXKjNCMhJS_dic_Ct2pg9mIhbQDEtkNnFPPfpYviTfEYJVlM36JWbzYS5BIkA2QSEOSHG6izQhi0zEpzA==,Agency_Phone_Index_738,Listing_Agent_Index_1083,,Rental,Residential Lease,Single Family Residence,SF,5/21/24,,A,7/15/24,3499,3499,Public Records,301,,,,%,St Johns,FL,St. Johns,US,32259,2,2,30.05099605,-81.58937162,1.21E+11,2496,2023,,,4,3,3,0,gAAAAABm9wKyKtrhUj1qcQanf8-wZfc_AYMMGbI6W8V2K3k9ZU5fN5n2Qv595wuyyEOCuablKgoHz2v04rthhk2Z_CJR8oO2xw==,,10/24/24 20:47,,,Excl Right to Lease,,Full Service,12 Months,,,1,,1.4,7/21/24,,,N,N,,U,0.17,,N,N,,,,Y,,0,1,N,,,,80,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Deposits and Fees|Security Deposit|3,499;Deposits and Fees|Additional Fee|199;Deposits and Fees|Pet Fee/Deposit|250;Deposits and Fees|Application Fee|69;Laundry Features|In Unit|Yes;Owner Pays|None|Yes;Patio And Porch Features|Deck|Yes;Pets Allowed|Dogs OK|Yes;Rent Includes|None|Yes;Sewer|Public Sewer|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|349;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Electricity Available|Yes;Utilities|Water Available|Yes;Utilities|Sewer Available|Yes;Utilities|Natural Gas Available|Yes;Showing Requirements|Lockbox|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Gas Range|Yes;Appliances|Electric Oven|Yes;Appliances|Dishwasher|Yes;"
gAAAAABm9wKyLhGsmPcX5HrMQJj6bUnykQNPh3Jo65JIyQRELoKUg-UZejkeBIRCH9z3HeRsonrW2e9Ppm248XLTCeP2gq61IA==,Agency_Phone_Index_668,Listing_Agent_Index_988,Co-Listing_Agent_Index_1636,Rental,Residential Lease,Condominium,CN,7/31/24,,A,7/31/24,1500,1500,Public Records,24,,,,$,Jacksonville,FL,Duval,US,32256,3,,30.24587954,-81.55512116,1.20E+11,1158,2012,,,2,2,2,0,gAAAAABm9wKydslzaMYhulnwpyv-gp6CTxHsjoibSoG17SKnQ3DtDOFs8rp0DBhJ19sXczlhaL9TFNAqSBFX2mO59ZijkCDg7w==,,,,,Excl Right to Lease,,Full Service,12 Months,,,,,1.3,8/19/24,,,Y,N,,U,,,N,N,,,O,N,,0,1,N,,,,9,,"Additional Fee Includes|Other|Yes;Additional Lease Terms|12 Months|Yes;Association Amenities|Fitness Center|Yes;Association Amenities|Playground|Yes;Deposits and Fees|Security Deposit|1,600;Deposits and Fees|Additional Fee|125;Deposits and Fees|Association Application Fee|75;Deposits and Fees|Pet Fee/Deposit|500;Deposits and Fees|Application Fee|75;Interior Features|Primary Downstairs|Yes;Interior Features|Split Bedrooms|Yes;Levels|One|Yes;Owner Pays|None|Yes;Patio And Porch Features|Screened|Yes;Pets Allowed|Yes|Yes;Rent Includes|None|Yes;Road Surface Type|Asphalt|Yes;Security Features|Security Gate|Yes;Showing Considerations|Occupied|Yes;Special Listing Conditions|Third Party Approval|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|200;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Gated|Community;Showing Requirements|Showing Service|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|24 Hour Notice|Yes;Parking Features|Guest|Yes;Parking Features|Parking Lot|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;"
gAAAAABm9wKyaiyvReDkHXgialLPHadzP7KBdkk4CV9-M_Cy__1n9JEnHz8Pn6CgY46V88rdHss3G2xXlt7ZoSsTTGMiSf_FVA==,Agency_Phone_Index_728,Listing_Agent_Index_1071,,Rental,Residential Lease,Condominium,CN,7/10/24,,A,5/26/24,1495,1450,Appraiser,41,,,,$,Jacksonville,FL,Duval,US,32277,1,,30.35491981,-81.56589059,1.20E+11,1157,2005,,,3,2,2,0,gAAAAABm9wKyHs8AsAnoauwO8jUa5xtMEvEHFpNo-TRG6xmt7zq3JIh9SqolORpoyfQdwpCJMKJKHA51aSB7H9w1dZaxvuXhkg==,,,,,Excl Right to Lease,,Entry Only,12 Months,,,,,1.25,,,,N,N,,,0,,N,N,,,,N,,0,,N,,,,41,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Deposits and Fees|Security Deposit|1,450;Deposits and Fees|Additional Fee|175;Deposits and Fees|Application Fee|80;Laundry Features|In Unit|Yes;Owner Pays|None|Yes;Pets Allowed|No|Yes;Rent Includes|None|Yes;Security Features|Smoke Detector(s)|Yes;Smart Home Features|Smoke Detector|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|500;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Other|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Other|Yes;Appliances|Disposal|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;"
gAAAAABm9wKyK0ShyOgdWHckZYhGMLxr2Hrs4k1EfHs5lSliSiGGJ6KMrVCTbrDK55GHwjTy89cka4oHIFe8h4xFRcmlHwotqw==,Agency_Phone_Index_799,Listing_Agent_Index_1186,,Rental,Residential Lease,Single Family Residence,SF,8/15/24,,A,6/25/24,2600,2600,Public Records,124,gAAAAABm9wKyJUGyasce4oZCXkt8FAgXRiGG3rR9ub_c0OviCfqx44ggxUQDPHxwzlVlEI-rEfN4Bbnnr1hHy0uw25cymhD7Uw==,,,%,Fleming Island,FL,Clay,US,32003,1,1,30.07006852,-81.72251578,1.20E+11,2144,2003,,,4,3,3,0,gAAAAABm9wKycIVgPIkQNF8n392tGMD-3CQ89YFkWCK6NLI3cKBjEXX4nnZRw9dPsVcnkjy6p6UePNbHlPhTvY0tjb5LfD3M8U1VmMMaGgk7vT_1yMpkdfc=,,,,Vacant,Excl Right to Lease,,Full Service,12 Months,0,,2,,1.21,,,,Y,N,,U,0.24,,N,N,,N,,Y,,0,1,N,,N,,9,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Traditional|Yes;Association Amenities|Basketball Court|Yes;Association Amenities|Children's Pool|Yes;Association Amenities|Pickleball|Yes;Association Amenities|Tennis Court(s)|Yes;Association Amenities|Playground|Yes;Association Amenities|Golf Course|Yes;Deposits and Fees|Security Deposit|2,600;Deposits and Fees|Additional Fee|45;Deposits and Fees|Application Fee|50;Interior Features|Breakfast Bar|Yes;Interior Features|Breakfast Nook|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom - Tub with Shower|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Pantry|Yes;Interior Features|Open Floorplan|Yes;Interior Features|Entrance Foyer|Yes;Interior Features|Ceiling Fan(s)|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Trash Collection|Yes;Patio And Porch Features|Covered|Yes;Pets Allowed|No|Yes;Rent Includes|Trash Collection|Yes;Road Frontage Type|City Street|Yes;Road Surface Type|Asphalt|Yes;Security Features|Smoke Detector(s)|Yes;Sewer|Public Sewer|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|260;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Heat Pump|Yes;Heating|Electric|Yes;Pool Features|Community|Yes;Utilities|Cable Available|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Utilities|Natural Gas Not Available|Yes;Utilities|Electricity Connected|Yes;Showing Requirements|Lockbox|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Attached|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
gAAAAABm9wKyp8ZUBRUcSXYj7b66JU0fMWpJ99zBmq7NO3BjOErUjXT_bCJnoYurrNV-bV1lfaX2wJBx0Izkeuj9JdB7Tyu-4A==,Agency_Phone_Index_800,Listing_Agent_Index_1187,,Rental,Residential Lease,Single Family Residence,SF,7/27/24,,A,6/5/24,2200,2100,Public Records,24,,,,$,Jacksonville,FL,Duval,US,32256,1,1,30.24239117,-81.56325147,1.20E+11,1417,1990,,,3,2,2,0,gAAAAABm9wKy82h7gDly1XsWU5zX0Pt9FruAGpvbLp7hnbbsPUqUpENhF1nGu7c8o6CtaLqlHea0hY7YSaqmiWiHLxw1Az99wQ==,,,,Vacant,Excl Right to Lease,,Full Service,12 Months,,,2,,1.48,7/7/24,,,N,N,,,0.09,,N,N,,,N,Y,,0,,N,,,,34,,"Additional Fee Includes|Attorney Fee|Yes;Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|12 Months|Yes;Additional Lease Terms|Negotiable|Yes;Deposits and Fees|Security Deposit|2,100;Deposits and Fees|Application Fee|75;Fencing|Back Yard|Yes;Fireplace Features|Fireplaces Total|1;Interior Features|Pantry|Yes;Interior Features|Primary Bathroom - Tub with Shower|Yes;Interior Features|Walk-In Closet(s)|Yes;Laundry Features|Electric Dryer Hookup|Yes;Owner Pays|Association Fees|Yes;Patio And Porch Features|Glass Enclosed|Yes;Pets Allowed|No|Yes;Rent Includes|None|Yes;Road Surface Type|Asphalt|Yes;Sewer|Public Sewer|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|200;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Electric|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Utilities|Water Not Available|Yes;Utilities|Sewer Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Appointment Only|Yes;Parking Features|Attached|Yes;Parking Features|Garage|Yes;Appliances|Dishwasher|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Range|Yes;"
